0	Enter	 23:29:16.207
0	Exit	 23:29:16.209
1	Enter	 23:29:16.214
1	Exit	 23:29:16.225
2	Enter	 23:29:16.231
2	Exit	 23:29:16.243
3	Enter	 23:29:16.330
3	Exit	 23:29:16.339
4	Enter	 23:29:16.342
4	Exit	 23:29:16.351
0	Enter	 23:29:16.355
0	Exit	 23:29:16.416
4	Enter	 23:29:16.419
4	Exit	 23:29:16.424
1	Enter	 23:29:16.427
1	Exit	 23:29:16.429
3	Enter	 23:29:16.454
3	Exit	 23:29:16.457
4	Enter	 23:29:16.459
4	Exit	 23:29:16.464
0	Enter	 23:29:16.472
0	Exit	 23:29:16.483
4	Enter	 23:29:16.485
4	Exit	 23:29:16.488
2	Enter	 23:29:16.490
2	Exit	 23:29:16.513
4	Enter	 23:29:16.535
4	Exit	 23:29:16.540
0	Enter	 23:29:16.550
0	Exit	 23:29:16.555
3	Enter	 23:29:16.558
3	Exit	 23:29:16.561
4	Enter	 23:29:16.597
4	Exit	 23:29:16.612
1	Enter	 23:29:16.615
1	Exit	 23:29:16.630
4	Enter	 23:29:16.675
4	Exit	 23:29:16.681
0	Enter	 23:29:16.683
0	Exit	 23:29:16.701
3	Enter	 23:29:16.703
3	Exit	 23:29:16.714
4	Enter	 23:29:16.732
4	Exit	 23:29:16.734
0	Enter	 23:29:16.738
0	Exit	 23:29:16.748
4	Enter	 23:29:16.752
4	Exit	 23:29:16.757
2	Enter	 23:29:16.784
2	Exit	 23:29:16.791
4	Enter	 23:29:16.831
4	Exit	 23:29:16.836
3	Enter	 23:29:16.837
3	Exit	 23:29:16.854
0	Enter	 23:29:16.861
0	Exit	 23:29:16.864
4	Enter	 23:29:16.869
4	Exit	 23:29:16.873
3	Enter	 23:29:16.876
3	Exit	 23:29:16.882
0	Enter	 23:29:16.900
0	Exit	 23:29:16.906
4	Enter	 23:29:16.911
4	Exit	 23:29:16.912
3	Enter	 23:29:16.929
3	Exit	 23:29:16.939
4	Enter	 23:29:16.949
4	Exit	 23:29:16.976
1	Enter	 23:29:16.978
1	Exit	 23:29:16.998
4	Enter	 23:29:17.012
4	Exit	 23:29:17.027
0	Enter	 23:29:17.030
0	Exit	 23:29:17.052
4	Enter	 23:29:17.054
4	Exit	 23:29:17.092
3	Enter	 23:29:17.093
3	Exit	 23:29:17.101
0	Enter	 23:29:17.102
0	Exit	 23:29:17.120
4	Enter	 23:29:17.125
4	Exit	 23:29:17.127
2	Enter	 23:29:17.129
2	Exit	 23:29:17.137
3	Enter	 23:29:17.144
3	Exit	 23:29:17.149
4	Enter	 23:29:17.177
4	Exit	 23:29:17.180
3	Enter	 23:29:17.184
3	Exit	 23:29:17.185
0	Enter	 23:29:17.188
0	Exit	 23:29:17.196
0	Enter	 23:29:17.209
0	Exit	 23:29:17.210
4	Enter	 23:29:17.224
4	Exit	 23:29:17.255
3	Enter	 23:29:17.260
3	Exit	 23:29:17.264
4	Enter	 23:29:17.269
4	Exit	 23:29:17.286
3	Enter	 23:29:17.288
3	Exit	 23:29:17.322
4	Enter	 23:29:17.323
4	Exit	 23:29:17.330
0	Enter	 23:29:17.332
0	Exit	 23:29:17.335
4	Enter	 23:29:17.342
4	Exit	 23:29:17.352
4	Enter	 23:29:17.364
4	Exit	 23:29:17.391
3	Enter	 23:29:17.392
3	Exit	 23:29:17.396
4	Enter	 23:29:17.402
4	Exit	 23:29:17.444
0	Enter	 23:29:17.445
0	Exit	 23:29:17.456
2	Enter	 23:29:17.457
3	Enter	 23:29:17.460
2	Exit	 23:29:17.459
3	Exit	 23:29:17.470
0	Enter	 23:29:17.481
0	Exit	 23:29:17.485
4	Enter	 23:29:17.492
4	Exit	 23:29:17.517
3	Enter	 23:29:17.521
3	Exit	 23:29:17.528
0	Enter	 23:29:17.530
0	Exit	 23:29:17.531
1	Enter	 23:29:17.537
1	Exit	 23:29:17.558
3	Enter	 23:29:17.596
3	Exit	 23:29:17.598
4	Enter	 23:29:17.601
0	Enter	 23:29:17.610
0	Exit	 23:29:17.613
4	Exit	 23:29:17.608
2	Enter	 23:29:17.630
2	Exit	 23:29:17.639
4	Enter	 23:29:17.648
4	Exit	 23:29:17.662
3	Enter	 23:29:17.662
3	Exit	 23:29:17.667
4	Enter	 23:29:17.670
4	Exit	 23:29:17.714
0	Enter	 23:29:17.717
0	Exit	 23:29:17.745
3	Enter	 23:29:17.746
3	Exit	 23:29:17.758
4	Enter	 23:29:17.759
4	Exit	 23:29:17.773
0	Enter	 23:29:17.774
0	Exit	 23:29:17.787
3	Enter	 23:29:17.788
3	Exit	 23:29:17.789
4	Enter	 23:29:17.820
4	Exit	 23:29:17.829
2	Enter	 23:29:17.836
2	Exit	 23:29:17.837
3	Enter	 23:29:17.838
3	Exit	 23:29:17.854
4	Enter	 23:29:17.855
4	Exit	 23:29:17.858
4	Enter	 23:29:17.865
4	Exit	 23:29:17.873
3	Enter	 23:29:17.877
3	Exit	 23:29:17.892
4	Enter	 23:29:17.894
4	Exit	 23:29:17.907
0	Enter	 23:29:17.910
0	Exit	 23:29:17.913
0	Enter	 23:29:17.923
0	Exit	 23:29:17.942
4	Enter	 23:29:17.944
4	Exit	 23:29:17.948
3	Enter	 23:29:17.949
3	Exit	 23:29:17.953
0	Enter	 23:29:17.960
0	Exit	 23:29:17.963
4	Enter	 23:29:17.989
4	Exit	 23:29:18.003
0	Enter	 23:29:18.005
0	Exit	 23:29:18.017
4	Enter	 23:29:18.019
4	Exit	 23:29:18.035
3	Enter	 23:29:18.036
3	Exit	 23:29:18.046
4	Enter	 23:29:18.048
4	Exit	 23:29:18.092
0	Enter	 23:29:18.093
0	Exit	 23:29:18.103
4	Enter	 23:29:18.106
4	Exit	 23:29:18.116
4	Enter	 23:29:18.127
4	Exit	 23:29:18.133
0	Enter	 23:29:18.135
0	Exit	 23:29:18.145
3	Enter	 23:29:18.146
3	Exit	 23:29:18.169
0	Enter	 23:29:18.171
0	Exit	 23:29:18.194
4	Enter	 23:29:18.198
4	Exit	 23:29:18.200
3	Enter	 23:29:18.216
0	Enter	 23:29:18.222
3	Exit	 23:29:18.221
0	Exit	 23:29:18.227
0	Enter	 23:29:18.235
0	Exit	 23:29:18.239
3	Enter	 23:29:18.242
3	Exit	 23:29:18.244
3	Enter	 23:29:18.263
3	Exit	 23:29:18.264
1	Enter	 23:29:18.270
1	Exit	 23:29:18.272
0	Enter	 23:29:18.298
0	Exit	 23:29:18.316
3	Enter	 23:29:18.317
3	Exit	 23:29:18.319
4	Enter	 23:29:18.341
4	Exit	 23:29:18.343
2	Enter	 23:29:18.344
2	Exit	 23:29:18.353
3	Enter	 23:29:18.354
3	Exit	 23:29:18.358
4	Enter	 23:29:18.380
4	Exit	 23:29:18.395
0	Enter	 23:29:18.396
0	Exit	 23:29:18.401
3	Enter	 23:29:18.402
3	Exit	 23:29:18.403
2	Enter	 23:29:18.408
2	Exit	 23:29:18.412
3	Enter	 23:29:18.413
3	Exit	 23:29:18.424
4	Enter	 23:29:18.426
4	Exit	 23:29:18.446
3	Enter	 23:29:18.454
3	Exit	 23:29:18.459
4	Enter	 23:29:18.460
4	Exit	 23:29:18.470
0	Enter	 23:29:18.473
0	Exit	 23:29:18.475
3	Enter	 23:29:18.476
3	Exit	 23:29:18.481
0	Enter	 23:29:18.485
0	Exit	 23:29:18.495
4	Enter	 23:29:18.499
4	Exit	 23:29:18.513
0	Enter	 23:29:18.514
3	Enter	 23:29:18.516
0	Exit	 23:29:18.515
3	Exit	 23:29:18.529
0	Enter	 23:29:18.530
0	Exit	 23:29:18.544
3	Enter	 23:29:18.548
3	Exit	 23:29:18.551
4	Enter	 23:29:18.555
4	Exit	 23:29:18.558
0	Enter	 23:29:18.567
0	Exit	 23:29:18.575
2	Enter	 23:29:18.577
2	Exit	 23:29:18.579
3	Enter	 23:29:18.581
4	Enter	 23:29:18.589
4	Exit	 23:29:18.593
3	Exit	 23:29:18.592
0	Enter	 23:29:18.595
0	Exit	 23:29:18.599
0	Enter	 23:29:18.605
0	Exit	 23:29:18.630
4	Enter	 23:29:18.631
4	Exit	 23:29:18.636
3	Enter	 23:29:18.638
3	Exit	 23:29:18.663
0	Enter	 23:29:18.665
